N,comment,Year,hour_z_time,an,Language
1025,I really miss the time we had before the nightmare we are now living with both domestic and global very serious challenges.,2022-03-22,00,N,en
1026,Evil sick clown,2022-03-21,23,N,en
1027,One of the worst presidents in US history. <br>Did F all good in 8 years !!,2022-03-21,20,O,en
1028,I am here,2022-03-21,10,O,en
1029,Boy he sure acts smug when he thought he was the man but we all know better him and his husband mike are now screaming in hell.,2022-03-20,21,P,en
1030,Memories never fade,2022-03-20,20,O,af
1031,Settle Down....😂,2022-03-20,18,O,en
1032,"President Obama. What a classy , dignified ,intelligent,elequant man. What a President should be! Then comes Dumpy tRumpy.",2022-03-20,13,P,en
1033,I miss these days….,2022-03-20,12,O,en
1034,<b>*IN PERSON*</b> <br>(*not* &quot;in the flesh&quot; — yuk),2022-03-20,09,O,en
1035,👏🏾,2022-03-20,03,O,en
1036,And then there was a trump. :(,2022-03-20,00,N,en
1037,the montage. CLASSY!!!,2022-03-19,23,P,en
1038,It was the last corespondents dinner ..for real.,2022-03-19,22,P,en
1039,"God, I miss him.",2022-03-19,22,O,et
1040,"TOO BAD that the Donald did not go to the president finner with Barak 0bama  has no shame. What happen to Donald Trump president Dinmer at his end of 4our year term, did not make it to the 8 year tetm, Trump was kick out 2 times. His Republicans sided with Trump against America, they should be in jail for double crossing America ss officials.They will have their day in court soon.",2022-03-19,20,N,en
1041,It<br>Mini Speed Mine mine<br>Slowly,2022-03-19,19,O,en
1042,YES!<br>Studant And Theather Speack Slowly,2022-03-19,19,N,en
1043,Obama was a game show host.,2022-03-19,01,N,en
1044,Worse woke racist president of all time   .    .    .      🤣,2022-03-19,01,N,en
1045,I feel like some of these jokes were written by Dave Chappelle. Can definitely hear Chappelle’s delivery in some of the jokes.,2022-03-18,23,O,en
1046,Not funny!!,2022-03-18,22,N,no
1047,Took a long time and like most black men the fear of them killing him always existed but we like him survived,2022-03-18,20,P,en
1048,President Obama is amazing,2022-03-18,15,P,en
1049,I love that man,2022-03-18,15,P,en
1050,Lol barack Obama,2022-03-18,06,P,tr
1051,He reads off a teleprompter  <br>The Marxists son of a Communists drunk <br>Unfit to be called an American unfit to be POTUS.<br>Wants to destroy America turn us into 3rd world country. Belongs in prison,2022-03-18,06,N,en
1052,God bless go door  and god be with  Amen and Amen,2022-03-18,03,O,en
1053,Note Obama&#39;s cocky comment about who the next president would be... a woman - and another member of the Bilderberg Group - &#39;97% of scientist said&#39; it would be Hillary Clinton  - they got that wrong too.,2022-03-17,23,N,en
1054,Hard to believe we went from Obama to Trump.,2022-03-17,08,N,en
1055,"I, Assert the Spanish Rule is set forth After 1895 Spanish and American War that had been long ago forgotten and put forth in Prime Minister Pedro Sanchez-Perez Policy in Standard Minimum Rules for Treatment of Offenders Held at Geneva 1955-57 And 13th May 1977 On the Social Council and Economic Resolution. The General Rules to the Militarium Applicant is setforth in the Teaching of Predecessor Franklin Delano Roosevelt New Deal to create Jobs in Executive Order 9751 International Monetary Fund July 11, 1946 in Executive Order 10133 European Economic Cooperation. Adopted Rules that cannot be infringed In Nomination Of Brazil Department of United Nation Peacekeeping Operation in Adopted First United Nation Congress In re<br>60 The is not entrusted but is setforth in Social Aid in re:<br>61... Social Security Rights in Social Rehabilitation in re<br>62. Medical Treatment and Pharmiceautical and Supplies in World Trade with the Banana Republic in Cocoa, Tea, and Poultry and Bananas In Institution personnel securities of Global Expert Lea Angela Biason, Fayola Ayo Atkins and Mehrin Sharif in an Seven year task in Executive Order 12425 IPO of Rihanna Fenty and her Agents Rihanna Navy,<br>I, assert the Securities is also an trade with South China Malaysia in Dpko with Deputy Commissioner Taptun Nasreen in Navy Merchant to for World Trade Deals in Salmon and Tuna after Filing Taxes in Form 1099SSA-SM / Spain Madrid Agreement in Membership of the Union in Selective Service System of the Navy Federal Credit Union ACH Automatic Clearing House Credit. FIVE DOLLAR MEMBERSHIP FOR MONEY MARKET.<br>THE DEPLOYMENT IN ADOPTED RULES OF GENERAL APPLICATION IS SETFORTH IN RE<br>38 INTERNATIONAL AUTHORITY WHICH TASK IT IS TO PROTECT SUCH PERSONS.",2022-03-17,00,P,en
1056,"Lies deception fraud, secrets, unlawfully unconstitutional undermining, anti-american,sold Russia uranium, should be imprisoned long ago. Negotiate with terrorists, check fly planes loads pallets of illegal no congressional anything just that little illegal around the rule of law.they make them not follow",2022-03-16,23,N,en
1057,We missed you Obama! 👊🏿<br>We need you now more than ever!😭 What a legend. There will never be a cool persdtent like Barak Obama!💯 Ever again! God bless you my guy🙏🏿 🖤🙌🏿✊🏿🔥✌🏿,2022-03-16,18,P,en
1058,Some say Obama is the ANTICHRIST. I  like what he said.  Contrary to popular belief  I WASN&#39;T BORN IN A  MANGER<br>EVANGELIST ROGER MANSOUR<br>MISSIONARY TO HAITI,2022-03-16,14,P,en
1059,Greatest president who ever lived,2022-03-16,07,P,en
1060,Thank God American military,2022-03-16,03,N,en
1061,good job by secret service ..they brought her back😂,2022-03-16,02,P,en
1062,God we need him more then ever!!  Best president in my lifetime by far!,2022-03-16,02,P,en
1063,"Obama gave Iran plutonium and Uranium to make nuclear bombs on top of billions of dollars. Biden gave the taliban billions in American military equipment and left American soldiers there to die. And <b>never forget that Harris began her career as a deputy district attorney</b> before climbing her way up to attorney general for spitefully and wrongfully convicting thousands of people specifically minorities and prosecuting the innocent giving out lengthy harsh sentences for minor misdemeanor offenses like a gram of marijuana she cannot stand people of color. This is who and what the Democrats vote for. Nobody even knows who these people truly are. It&#39;s sad. Instead of voting based on emotion, people need to vote based on POLICY! VOTE RED IN NOVEMBER AND IN &#39;24 IF YOU WANT CHANGE! 🇺🇸4️⃣5️⃣🇺🇸4️⃣7️⃣🇺🇸",2022-03-15,16,P,en
1064,America is a melting pot of ethnicity. We need President that look like AVERAGE folks,2022-03-15,13,N,en
1065,The BEST President ever,2022-03-15,13,P,en
1066,Evil,2022-03-15,02,N,sl
1067,"Just before the darkness falls, as the light begins to fail; there is the brief flash of light as the sun sets,,,,and how the darkness came ....",2022-03-14,21,P,en
1068,"Silver tongued devil, and that&#39;s about it",2022-03-14,21,O,en
1069,Silver fox...we miss you!   ❤,2022-03-20,16,O,en
1070,I still mourn that we lost the privilege of having Hillary as the President of the United States of America,2022-03-14,09,O,en
1071,I won&#39;t ever forget what you did to eastern Kentucky who voted for you twice. I won&#39;t forget watching hundreds of grown men cry at once. I won&#39;t miss you at all.,2022-03-14,07,O,en
1072,Hope it is the last,2022-03-14,02,O,en
1073,He should have been wearing a tan suit in his video about retirement!,2022-03-14,00,O,en
1074,&quot;perhaps THE last white house correspondants dinner&quot;. Wow. Spot on.,2022-03-14,00,P,en
1075,I’d say the worst President ever but his VP is the worst.,2022-03-13,21,N,en
1076,Smart Guy.,2022-03-13,16,P,en
1077,Traitor....,2022-03-13,11,O,en
1078,He&#39;s is still a disgrace .,2022-03-13,11,O,en
1079,He made an extremely difficult 8 years. And that was after a difficult couple of terms with Bush. Now Biden is an extension. Makes it difficult to laugh with anything.,2022-03-13,10,N,en
1080,3am is the diabetes.,2022-03-13,02,O,en
1081,What a piece of crap. Definitely the kind of guy that lets sweat shop workers feel his body hair,2022-03-12,23,N,en
1082,😎,2022-03-12,13,O,en
1083,Su,2022-03-12,05,O,id
1084,"Then Trump orribilis, then Biden escalating war...So disappointing.<br>Obama the Best after the Kennedys<br>♥️♥️♥️♥️♥️♥️♥️♥️...😭😭😭😭😭",2022-03-11,21,P,en
1085,"No I totally understand what he saying about Trump and he had no business being voted in but I&#39;ll tell you something else Roseanne Barr wasn&#39;t lying about Valerie J smock and what Obama did for her and inflating her building cost, when come to find out that all of her buildings combined together weren&#39;t worth 25 million dollars she got 25 million dollars for one building compliments of Obama helping out a what do you want to call that slumlord! But he was one of our better presidents!",2022-03-11,17,P,en
1086,&quot;Many a true word uttered in jest.&quot;,2022-03-11,15,P,en
1087,I miss him!,2022-03-11,10,O,et
1088,"Disgusting puke! Had the media NOT DONE A COMPLETE COVERUP on OBOZO&#39;S cocaine infused, hotel booty calls with male prostitutes, the many witnesses who knew him as &quot;BATHHOUSE BARRY&quot;, his admiration of communist ideology, or kinship with the Nation of Islam , including photos with Louis Farrakhan , he would never have been nominated let alone been able to desecrate our nation as president!",2022-03-11,09,P,en
1089,Obama pos traitor.,2022-03-11,00,O,pt
1090,One of the worst POTUS in American history.,2022-03-10,19,N,en
1091,This guy is great.,2022-03-10,17,P,en
1092,GOOD RIDDANCE AND GO BACK TO WHERE EVER YOU CAME FROM YOU POS!!!,2022-03-10,14,P,en
1093,Unimaginable thinking what followed him.  The havoc the embolded Russian president and his old mate trump.  The rise of ignorance and stupidity.,2022-03-10,13,N,en
1094,I grew up during his reign. Can’t be more proud!,2022-03-09,21,P,en
1095,After finding out some of the things that you have done after voting for you makes me question my vote more than ever Shame on you for taking advantage of my faith in humanity I pray for you and those that have taken advantage of the people you should have cared for,2022-03-09,05,P,en
1096,He has style but not streanth,2022-03-08,22,O,en
1097,"(I know this is like 6 years too late), but crazy how he finished his speech admiring, thanking, and encouraging the free journalist who focus on depth over speed, and then less than a year later, you get a tangerine preaching the exact opposite",2022-03-08,10,N,en
1098,Peace out,2022-03-08,03,O,en
1099,why wont you losers stop showing this criminal,2022-03-07,23,N,en
1100,Obama: They did not fight for a red America or a blue America. <br><br>Also Obama: In case you were wondering if I’m still black enough.”<br><br>Makes sense,2022-03-07,18,N,en
1101,مايك دروب ٥٢ م فيوز اند ٥ ييرز اباوت توبي ٥ ان تو مونثز,2022-03-07,11,O,ar
1102,Or I should have said the racist con man,2022-03-07,08,O,en
1103,This anti-American POS he&#39;s the reason this country&#39;s the way it is right now he&#39;s probably controlling Biden for his third term to take America down,2022-03-07,08,P,en
1104,Run For PotUS in &#39;24 ?,2022-03-06,22,O,de
1105,"He makes a weird Hitler sign at the end (two fingers as mustache and one hand up). I never liked him, he had no courage to do the right things and made only the small decisions. Not a great president. Beeing the first black president is not enaugh to be good.",2022-03-06,13,N,en
1106,A timeless beat down that chewed up Trump completely. Xx,2022-03-06,05,N,en
1107,Obama agrre,2022-03-06,05,O,pt
1108,"Remember this clown mocked Republicans saying Russia was no threat, the Cold War was over.  Wonder what Ukraine would say to that Barrack?  You also  started the defund the police idiocy, coupled with the lowest growth of any president in US history.  What an epic failure of a presidency.",2022-03-06,01,N,en
1109,who knew john boehner had a sense of humor...,2022-03-06,01,O,en
1110,Still watching in 2022. It’s amazing the Korean boy band BTS leader RM and SUGA made their song ‘Mic drop’ after RM had watched this speech. Obama was not just a wonderful speaker but a brilliant scene creator.,2022-03-05,03,P,en
1111,I miss this era (2008-2016) every day of my life.,2022-03-05,00,O,en
1112,He is actually doing a stand up comedy,2022-03-04,23,O,en
1113,I love Obama. Wonder how we would have managed the current situation with Russia and Urkaine.,2022-03-04,20,P,en
1114,Damn you are a funny man. Love you Mr. President! ...secret service managed to bring Michelle back:),2022-03-04,17,P,en
1115,How are you présidente,2022-03-04,17,O,fr
1116,"Told jokes for over 30 minutes,.......... Was a joke for 8 years.",2022-03-04,16,O,en
1117,Did he get an extra microphone so he can drop it😂,2022-03-04,13,O,en
1118,Thank god he can never run again !,2022-03-04,02,O,en
1119,yuck,2022-03-03,19,O,tr
1120,Obama is a G.O.T fan,2022-03-03,14,O,pt
1121,If this guy put half as much effort into being the President as he did trying to be the class clown he might not have been the utter failure he actually was. Sounded more like a bitter little man.,2022-03-03,07,N,en
1122,It was a sad day when Obama&#39;s administration ended. The insanity began after him.,2022-03-03,02,N,en
1123,So grateful to have had Barak Obama president of the USA in my lifetime.,2022-03-03,01,O,en
1124,🤣,2022-03-03,01,O,en
1125,How much things have changef in 2022!!,2022-03-02,23,P,en
1126,The worst President in US history and a servant of Moloch.,2022-03-02,21,N,en
1127,"Obama was the first and ONLY President in US history to be 8 years at constant war. He created war and destroyed Syria and Libya. He made incursions in Pakistan, Somalia, Yemen.. And they even gave him the Nobel Peace Prize due to something that was already agreed and DID NOT HAPPEN, the withdrawal of troops from Iraq and Afghanistan. He left about 4,000 men in Iraq and only left Afghanistan on August 30, 2021, leaving the country to those who had fought for 21 years. The longest conflict in the country&#39;s history. Democrats can in fact EVERYTHING with the help of media propaganda.<br># Trump damaged the war industry and was removed. ;)",2022-03-02,21,P,en
1128,"It&#39;s still incredulous that we went from one of the most educated, affluent, charismatic, and well spoken men in history as president to an absolute clown show.",2022-03-02,21,P,en
1129,Who else is watching this LEGEND in 2022 (3/1/22) A &quot;BE LEGENDARY&quot; moment!!,2022-03-02,10,O,en
1130,"TWO THUMBS UP...oh, how I still miss this man!",2022-03-01,19,O,en
1131,Still great. How I miss him!!,2022-03-01,15,P,en
1132,spotted priyanka chopra btw,2022-03-01,12,O,sk
1133,Our president has been a sensational leader .I have enjoyed his term in office because of the professionalism with which he has ruled.   His platform  has been so family friendly; even children willingly watch the news.,2022-03-01,05,P,en
1134,Don Rickles never looked better.,2022-02-28,20,P,da
1135,"Worst god damn president ever. Not opinion, facts",2022-02-28,19,N,en
1136,Well if I had a special coaching telling me how to act and speak then I’d be a great speaker too... but my favorite moment was the open mic where he thought is was shut off and stated we are all so stupid.,2022-02-28,16,P,en
1137,Trump got the last laugh though,2022-02-28,05,P,en
1138,One of THE best stand up routines I have EVER seen and / or heard in my life.,2022-02-28,04,P,en
1139,"Now that I know what I know about O&#39;Bombers, Oh potus let&#39;s not do pizza parties in the basement of the Whitehouse at midnight,  I am impressed with how good of a conman he is.  I imagine it is a strict prerequisite to become a president of one of the most corrupted countries in the G-10.",2022-02-27,17,P,en
1140,Just remember this clown endorsed the Dementia laced brain Jotaedo OBIDEN for President. The Dems have lost their way and went way to left for this Democrat. FJB Let’s Go Branden 2024!,2022-02-27,16,O,en
1141,The token President is a better comedian than a President that’s Fo Sho!,2022-02-27,16,P,en
1142,I miss him,2022-02-27,14,O,et
1143,Your a lying gay man who’s wife is a man himself. We know who you are and who you are not. Your a nut job Oboma. Now I’ve said what I have to say. Not listening no more.,2022-02-27,10,P,en
1144,Obama is the Michael Jordan of stupidity.,2022-02-27,09,N,en
1145,Best president ever… Miss him so much,2022-02-27,07,P,en
1146,"We miss President Obama’s intelligence, humor, personality, style, charm. Some1 whom we can actually understand. It was so refreshing!! I wish he can come back.",2022-02-26,23,P,en
1147,"Worst President in history, divided a nation, funded terrorism, hopefully people learn to vote on abilities not likability.",2022-02-25,01,N,en
1148,Was there ever one of these with Trump. I don’t remember anything like this ever done with him.,2022-02-24,23,O,en
1149,The coolest prez we ever had. I miss him!,2022-02-24,17,O,en
1150,"Back when there was a cool president lol Now it&#39;s back to what it always was, all over the world. Old frickin men, who just ugh lol",2022-02-24,06,P,en
1151,Great President. Love hearing President Obama speak.,2022-02-24,02,P,en
1152,He kill it lmao,2022-02-23,20,P,fi
1153,Watch the body language in the crowd. Say it don&#39;t do sign language.,2022-02-23,20,O,en
1154,Just the thruth,2022-02-23,16,O,en
1155,It is,2022-02-23,16,O,en
1156,No Just a phone,2022-02-23,16,O,en
1157,Right,2022-02-23,16,P,en
1158,Do that,2022-02-23,16,O,en
1159,Both,2022-02-23,15,O,en
1160,Give her Security with Big huts,2022-02-23,15,O,en
1161,Let her go,2022-02-23,15,O,nl
1162,No cab,2022-02-23,15,O,pt
1163,Hihi,2022-02-23,15,P,so
1164,Charming,2022-02-23,15,P,en
1165,Santė,2022-02-23,15,O,lt
1166,Love it,2022-02-23,15,P,sl
1167,Black jack,2022-02-23,15,N,pl
1168,All about bathrooms,2022-02-23,15,O,en
1169,Be Just u,2022-02-23,15,O,de
1170,No,2022-02-23,15,O,no
1171,Me too,2022-02-23,15,O,en
1172,Did a great Job!!!,2022-02-23,15,P,en
1173,No,2022-02-23,15,O,no
1174,Oh,2022-02-23,15,O,de
1175,Hy again,2022-02-23,15,O,tl
1176,Does,2022-02-23,15,O,af
1177,No prob bra,2022-02-23,15,O,sl
1178,Still TRUE today!!,2022-02-23,15,P,en
1179,"Man, what came after him...a wig and diet coke 😢",2022-02-23,06,O,en
1180,"After five years I saw this again. Amazing speaker , poised, charismatic,I could watch him for hours. He will be greatly missed. Thank you Mr President. May God bless you and your family. What I wouldn’t give or do to have the America we had when you presided <br>. Thank you. You are loved. Blessings 🙏🌷",2022-02-23,05,P,en
1181,Ladies find yourself a man who loves you as much as Obama loves Obama,2022-02-22,23,P,en
1182,How did we go from this to an illiterate angry orange puppet?  Insane actually.,2022-02-22,20,N,en
1183,Please don&#39;r go.,2022-02-21,17,O,es
1184,Race baiting POS,2022-02-21,15,O,en
1185,It’s still funny but in a painful sort of way watching this now. If only we with a brain had realized Trump was more than a joke.,2022-02-21,09,P,en
1186,who knew Job Biden was going to be the next president?,2022-02-21,08,O,en
1187,Obama was The second worst president after Biden. what a disgrace.,2022-02-21,03,N,en
1188,rather who HE will be u jackass....Trump is still u peoples daddy,2022-02-21,01,O,en
1189,When do I get my biggest check obahma all I want is enough for a new house and abrahamsa son diooiin Lincoln.,2022-02-20,23,P,en
1190,Obama built the biggest divide between white and black people. We are trying to tear it down even today in 2022.,2022-02-20,21,N,en
1191,Not because he was a black man he just was down to earth very small group of presidents not many,2022-02-20,17,N,en
1192,You are THE person who can say it.,2022-02-20,10,O,en
1193,Kinda miss Obama.. The best president in the world.. sending love from Indonesia 🇮🇩,2022-02-20,08,P,en
1194,Super!,2022-02-20,04,P,id
1195,What a loser!!,2022-02-19,20,O,en
1196,"How did we go from Obama to DT, brilliance to shame???",2022-02-19,15,O,en
1197,War auch ein Kriegstreiber,2022-02-19,08,O,de
1198,Trump was a abomination of class,2022-02-19,08,O,en
1199,He was a cool 😎 cat,2022-02-19,08,P,en
1200,Good riddance!!! And now we have an even bigger jerk than him!!! FJB🤡,2022-02-19,05,P,en
1201,I love your wife she looks so beautiful Jesus shine in the sun she is super beautiful she she belong with you Barack Obama so you’re your your wife that she is here,2022-02-19,02,P,en
1202,WORST PRESIDENTS......THIS RACIST AND BIDEN,2022-02-18,13,N,en
1203,Back when no drama and social media had less hate and division. I never even gave a damn about politics until trump and his racist followers changed the narrative. Trump followers and his time in office made us all pay attention.,2022-02-18,09,N,en
1204,"I&#39;m not GAY, but I would have his baby. Just saying...",2022-02-18,08,N,en
1205,I miss him soooooooooo much!,2022-02-18,00,P,so
1206,"HE&#39;S BRILLIANT, DIGNIFIED, RESPECTFUL, HONEST, EVEN-TEMPERED, INTELLIGENT, CLASSY, AND QUITE FUNNY.",2022-02-17,22,P,en
1207,Worldly Guy ….,2022-02-17,11,O,en
1208,Obama must have some Scottish blood in him with that sense of humour or is it a scots script writer.,2022-02-17,11,O,en
1209,What will Boris say on his outward speech. Not in a same class I guess.,2022-02-17,10,O,en
1210,I miss him.,2022-02-17,02,O,et
1211,Remember america he is socialism and one with Clinton&#39;s and biden,2022-02-16,23,O,en
1212,"CPT are jokes that white people can&#39;t make.... so Obama can&#39;t make them then, right? Why do we keep forgetting he&#39;s half white? XD",2022-02-16,20,P,en
1213,"He&#39;s my president forever. 😍🥰<br>WE MISS YOU, BARAK!",2022-02-16,08,O,en
1214,"Obama was one of the most stable US president. Since then, we&#39;ve had an orangutan and now perhaps the weakest US president in the history.",2022-02-16,06,P,en
1215,"This old fart is trying to cast attention elsewhere while achieving the highest inflation in 40 years, let alone food skyrocketing prices, gas almost twice as much within a year and forget about buying a house let alone renting which is now the new American dream.<br><br>In times of inflation and a threat of war made by socialists media and politicians, the only ones making fortunes are the same politicians and their friends the super rich while John and Mary Doe get the shaft.<br><br>No matter what this old fart does this year regardless all smoke and mirrors he will lose this year election and remembered as the president who beat Carter as the worst crap ever.<br><br>BTW, what the f are our satellites for or nowadays are as useless as him and his minions",2022-02-16,04,N,en
1216,He was never lawfully elected either…..democrat manipulation at every level during the election counting…,2022-02-16,00,O,en
1217,God I miss this man! The whole package!,2022-02-15,21,P,en
1218,Obama made politics cool,2022-02-15,14,P,pt
1219,"&quot;Jake Tapper left journalism to join CNN.&quot; Savage. One of many, many savage moments ^_^",2022-02-15,13,P,en
1220,Never did a country sink lower or so fast or so DEEP than the US in 2016.,2022-02-14,15,P,en
1221,Barack Obama is an absolute joke of a man<br>In love with him self power and money<br>They’re very sound of his voice makes me sick to my stomach<br>He and his president of vice<br>Almost ruined our beloved republic<br>They should be in jail for treason<br>Shows you how dumb some of our voters are,2022-02-14,15,P,en
1222,Good bye and good riddance turkey neck!,2022-02-14,14,P,en
1223,And they hated him?,2022-02-14,09,N,en
1224,Great,2022-02-14,07,P,en
1225,We miss a man who cared about the American people and Biden is trying even with Republicans obstructing him.,2022-02-14,06,O,en
1226,"The NWO crew tyrant trying so hard to make Trump look as if he is the crazy one. Never the less, like I’ve been saying they all sit at the same table, the elite table.",2022-02-14,06,N,en
1227,6 joker cards it’s ok,2022-02-13,23,P,en
1228,Everyone knows ur 2PAC dad it’s ok. Lol,2022-02-13,23,P,en
1229,So so funny what a good and handsome president,2022-02-13,22,P,en
1230,"Give it to me straight, not shoot in the head🤯",2022-02-13,15,P,en
1231,Lol I know I go how s that going to work u do read Facebook lol<br><br>Booming in with Aladdin playing in my <br><br>Kamel s are ugly cars <br><br><br>Ya know what…. I know that I’m tool,2022-02-13,05,P,en
1232,"When a brain healing therapy is needed, just play his speeches. :)",2022-02-13,05,P,en
1233,"And to look how our next ones played out. You can&#39;t beat this. He loved Joe, never mentioned nothing about hanging his VP.  NIGHT &amp; DAY it was.",2022-02-13,05,P,en
1234,The best  President  ever. Thank you for sharing your life with our country.,2022-02-12,21,P,en
1235,I really like Barack Obama and his wife they’re amazing we need more people in this world like them,2022-02-12,19,P,en
1236,Miss him,2022-02-12,14,O,en
1237,All the female leaders of nations gave him a 💋 kiss.He was so popular.,2022-02-12,14,P,en
1238,His invite of all those wonderful musicians from all Genres at the White House was bad all of them.,2022-02-12,14,P,en
1239,I drive a kamel right u think it looks like a kamel lol I do a lot it’s good lol <br><br>Lol I know,2022-02-12,09,P,en
1240,Trump an biden could never do this he brings light lmao🤣,2022-02-12,05,P,en
1241,Bring us another young black president not these old white ones.,2022-02-12,05,P,en
1242,How people can support this guy is actually crazy. Blinded by charisma and some jokes.,2022-02-11,20,N,en
1243,"<a href=""https://www.youtube.com/watch?v=NxFkEj7KPC0&amp;t=19m43s"">19:43</a>",2022-02-11,20,O,cy
1244,"God, I miss this man! 😞",2022-02-11,18,O,en
1245,"Truely miss the obama family in the WH, which will never be the same.  They were the best family, no one could find a flaw. Power 2 the black family. You set the example, THANK YOU.",2022-02-11,14,P,en
1246,"The yearning for days of old, when we still felt safe and warm in our homes 🏡, when common sense still made sense, when no one man was bigger than the law or our DEMOCRACY. I fear for our future and those of our children! For God sake people,  please VOTE!",2022-02-11,07,P,en
1247,I miss Obama,2022-02-11,03,O,et
1248,Love this man!!!,2022-02-10,17,P,en
1249,He knew EXACTLY what was about to happen.💯,2022-02-10,14,P,en
1250,That didn’t age well 😂,2022-02-10,07,O,en
1251,Jerk,2022-02-10,06,O,id
1252,And we had to endure trump after Obama. Ouch.,2022-02-10,04,O,en
1253,Hipocrita,2022-02-10,00,O,ca
1254,This man can even become a stand-up comedian,2022-02-09,16,O,en
1255,"Can&#39;t believe it&#39;s only five years ago that the man standing there has so much sense of humor. I really wish United States can have another young president again. The last two are just too old, so old that US feels so outdated.",2022-02-09,03,P,en
1256,Doesn&#39;t it suck that you can&#39;t form your own opinion instead of relying on media or the internet to figure it out,2022-02-08,19,P,en
1257,Be loving and missing me some Obama!,2022-02-08,16,P,no
1258,One of the most natural and upbeat politician of entire history,2022-02-08,14,P,en
1259,Barack........you&#39;re glib.......,2022-02-08,09,O,tr
1260,I think he is gay.,2022-02-08,07,P,en
1261,"Such a different country, since you left office, Mr. President. <br>Not for the better, I’m afraid. Missing that Obamaness you gave so well!  😢",2022-02-07,22,N,en
1262,A terrible war monger who promised the inner city black community so much but delivered NOTHING and repatriated more people back across  the southern border than any president in history. As a half black man himself he was a disgrace,2022-02-07,20,N,en
1263,“Joe I need some focus hea” <br>😂😂 even years after This still gets me,2022-02-07,16,O,en
1264,Amazing speech!!! I didn&#39;t know President Obama was a comedian.  LOL!!!  🤔 Love it!!!,2022-02-07,15,P,en
1265,SHOUT OUT TO SASHA. WHAT A BEAUTIFUL YOUNG LADY.   1,2022-02-07,03,P,en
1266,U.S NEEDS TO CHANGE THE 2 TERM LIMITS TO 3 OR 4 TERMS. IF WE ARE FOR THE PEOPLE N VOTED BY THE PEOPLE WHY CANT THE PEOPLE VOTE N DECIDE ? ITS NO WAY ANY PRESIDENT CAN CHANGE THE COUNTRY IN 8 YEARS. THE RULES ARE A JOKE. OR ITS DESIGNED TO BE OFF BALANCE FOREVER. THE TERM LIMITS<br>NEEDS TO BE CHANGED IF NOT CHANGED THE U.S WILL NEVER GO ANYWHERE.   1,2022-02-07,03,O,en
1267,Michelle has such a large head,2022-02-06,21,P,en
1268,its weird but i come back to this speech for comfort lol,2022-02-06,18,P,en
1269,"LOVE HIM OR HATE HIM BUT WHEN HE WAS PRESIDENT OF US (potus) I AND I GUESS MOST OF THE PEOPLE LIKE ME , HAD HUGE RESPECT FOR THE AMERICANS… <br>No match , incomparable, a class apart .. thanks for being an exemplary world leader model",2022-02-06,17,P,en
1270,It’s 2022 and back to hear his speech. I so miss him.,2022-02-06,14,O,en
1271,He speaks like George Clooney.,2022-02-06,12,O,af
1272,Little did Former president Obama know that joe Biden would be president,2022-02-05,14,N,en
1273,The knife in the back about net worth!!!! But the cigarette joke was the level!,2022-02-04,23,P,en
1274,BLhnM,2022-02-04,19,O,de
1275,We thought this mothereffer was bad and then Brandon stole the election,2022-02-04,07,N,en
1276,"I would like to point out that over 25 coloured Americans died during the BLM riots and no one has taken a moment to acknowledge those forgotten coloured individuals. There should be an investigation immediately on how that mess happened!!! All this fuss about 1/6.. that was 1,white person who got shot… let’s get to the root of who was behind BLM and make them pay for the the loss of 25 wonderful black American lives!!! Why is the media not talking about them? Do Black lives actually not matter? Didn’t see Nancy Pelosi propose any minute of silence to remember those people. Na, her political interests are more important than 25 innocent black American heroes",2022-02-04,05,P,en
1277,We should probably be playing golf or something.,2022-02-04,02,O,en
1278,worse president since carter then joe biden came along and took the spotlight,2022-02-04,01,N,en
1279,Lol left journalism to go to cnn. Even 8 years ago he knew cnn was a joke.,2022-02-04,00,P,en
1280,"Jake Tapper had to have some wine on that one, lol<br>Hilarious!",2022-02-03,12,O,en
1281,How did America move on from this to Trump?,2022-02-03,06,O,en
1282,I miss you. <br>Thank you for your time,2022-02-03,06,O,en
1283,"This is wide eye expolsion. The roast that he gave towards Trump. I could&#39;nt stop laughing , that I was crying. I had no idea that Obama was hilareous and funny. His coduct is not under handed, but a good example.",2022-02-03,06,P,en
1284,this hasn&#39;t aged well....,2022-02-03,00,N,en
1285,I don&#39;t know why one side itz jfk And other side is his mirror image Obama.... Time proved that there is no black and white men... When Nation&#39;s respect all the races the result is a STATESMEN...,2022-02-02,18,N,en
1286,Pomylone państwa zprezydentem źle wybiera  komputer,2022-02-02,15,N,pl
1287,Disgusting 🤮,2022-02-02,10,N,tl
1288,The comrade and cnn joke 😂😂😂😂,2022-02-02,05,O,en
1289,"Oh so funny.  Ha. Ha,   Ha ha,      Ha ha.  🤡",2022-02-02,03,P,so
1290,I Loved it when he drop the mic 🎤🎤🎤🎤,2022-02-02,02,P,en
1291,This is pure gold,2022-02-01,20,P,en
1292,Geçersiz 50  kuruş Obama,2022-02-01,19,O,tr
1293,I miss his intelligence and whit !!!,2022-02-01,15,O,en
1294,"Asesino, corrupto esbirro de la élite criminal y líder del grupo criminal dentro del FBI.<br>Terminó el trabajo que inició el genocida de Bush. Vendieron la soberanía de los EEUU al comunismo de la gran corporación. Traicionaron al pueblo norteamericano.",2022-02-01,12,N,es
1295,"Obama is such a good speaker, just like the Donald, lol!",2022-02-01,04,P,en
